timestamp,source,index,filename,model,device,input_size,fp16,bilateral,width,height,fps
2025-08-11 19:11:20,webcam,0,,MiDaS_small,mps,518,0,0,640,480,0.722
2025-08-11 19:11:20,webcam,1,,MiDaS_small,mps,518,0,0,640,480,5.323
2025-08-11 19:11:20,webcam,2,,MiDaS_small,mps,518,0,0,640,480,10.533
2025-08-11 19:11:20,webcam,3,,MiDaS_small,mps,518,0,0,640,480,14.651
2025-08-11 19:11:21,webcam,4,,MiDaS_small,mps,518,0,0,640,480,9.726
2025-08-11 19:11:21,webcam,5,,MiDaS_small,mps,518,0,0,640,480,10.751
2025-08-11 19:11:21,webcam,6,,MiDaS_small,mps,518,0,0,640,480,14.517
2025-08-11 19:11:21,webcam,7,,MiDaS_small,mps,518,0,0,640,480,16.153
2025-08-11 19:11:21,webcam,8,,MiDaS_small,mps,518,0,0,640,480,9.328
2025-08-11 19:11:21,webcam,9,,MiDaS_small,mps,518,0,0,640,480,9.918
2025-08-11 19:11:21,webcam,10,,MiDaS_small,mps,518,0,0,640,480,10.123
2025-08-11 19:11:21,webcam,11,,MiDaS_small,mps,518,0,0,640,480,10.416
2025-08-11 19:11:21,webcam,12,,MiDaS_small,mps,518,0,0,640,480,10.249
2025-08-11 19:11:21,webcam,13,,MiDaS_small,mps,518,0,0,640,480,9.826
2025-08-11 19:11:21,webcam,14,,MiDaS_small,mps,518,0,0,640,480,10.148
2025-08-11 19:11:22,webcam,15,,MiDaS_small,mps,518,0,0,640,480,10.042
2025-08-11 19:11:22,webcam,16,,MiDaS_small,mps,518,0,0,640,480,10.030
2025-08-11 19:11:22,webcam,17,,MiDaS_small,mps,518,0,0,640,480,10.356
2025-08-11 19:11:22,webcam,18,,MiDaS_small,mps,518,0,0,640,480,9.901
2025-08-11 19:11:22,webcam,19,,MiDaS_small,mps,518,0,0,640,480,10.573
2025-08-11 19:11:22,webcam,20,,MiDaS_small,mps,518,0,0,640,480,14.710
2025-08-11 19:11:22,webcam,21,,MiDaS_small,mps,518,0,0,640,480,15.376
2025-08-11 19:11:22,webcam,22,,MiDaS_small,mps,518,0,0,640,480,9.850
2025-08-11 19:11:22,webcam,23,,MiDaS_small,mps,518,0,0,640,480,9.782
2025-08-11 19:11:22,webcam,24,,MiDaS_small,mps,518,0,0,640,480,10.511
2025-08-11 19:11:23,webcam,25,,MiDaS_small,mps,518,0,0,640,480,9.882
2025-08-11 19:11:23,webcam,26,,MiDaS_small,mps,518,0,0,640,480,9.966
2025-08-11 19:11:23,webcam,27,,MiDaS_small,mps,518,0,0,640,480,10.949
2025-08-11 19:11:23,webcam,28,,MiDaS_small,mps,518,0,0,640,480,10.426
2025-08-11 19:11:23,webcam,29,,MiDaS_small,mps,518,0,0,640,480,10.339
2025-08-11 19:11:23,webcam,30,,MiDaS_small,mps,518,0,0,640,480,9.997
2025-08-11 19:11:23,webcam,31,,MiDaS_small,mps,518,0,0,640,480,10.018
2025-08-11 19:11:23,webcam,32,,MiDaS_small,mps,518,0,0,640,480,9.812
2025-08-11 19:11:23,webcam,33,,MiDaS_small,mps,518,0,0,640,480,9.669
2025-08-11 19:11:23,webcam,34,,MiDaS_small,mps,518,0,0,640,480,15.618
2025-08-11 19:11:23,webcam,35,,MiDaS_small,mps,518,0,0,640,480,15.724
2025-08-11 19:11:24,webcam,36,,MiDaS_small,mps,518,0,0,640,480,9.294
2025-08-11 19:11:24,webcam,37,,MiDaS_small,mps,518,0,0,640,480,10.216
2025-08-11 19:11:24,webcam,38,,MiDaS_small,mps,518,0,0,640,480,10.216
2025-08-11 19:11:24,webcam,39,,MiDaS_small,mps,518,0,0,640,480,10.511
2025-08-11 19:11:24,webcam,40,,MiDaS_small,mps,518,0,0,640,480,9.744
2025-08-11 19:11:24,webcam,41,,MiDaS_small,mps,518,0,0,640,480,10.235
2025-08-11 19:11:24,webcam,42,,MiDaS_small,mps,518,0,0,640,480,10.165
2025-08-11 19:11:24,webcam,43,,MiDaS_small,mps,518,0,0,640,480,10.007
2025-08-11 19:11:24,webcam,44,,MiDaS_small,mps,518,0,0,640,480,9.743
2025-08-11 19:11:24,webcam,45,,MiDaS_small,mps,518,0,0,640,480,10.176
2025-08-11 19:11:25,webcam,46,,MiDaS_small,mps,518,0,0,640,480,10.496
2025-08-11 19:11:25,webcam,47,,MiDaS_small,mps,518,0,0,640,480,9.798
2025-08-11 19:11:25,webcam,48,,MiDaS_small,mps,518,0,0,640,480,16.416
2025-08-11 19:11:25,webcam,49,,MiDaS_small,mps,518,0,0,640,480,15.972
2025-08-11 19:11:25,webcam,50,,MiDaS_small,mps,518,0,0,640,480,10.219
2025-08-11 19:11:25,webcam,51,,MiDaS_small,mps,518,0,0,640,480,10.103
2025-08-11 19:11:25,webcam,52,,MiDaS_small,mps,518,0,0,640,480,10.018
2025-08-11 19:11:25,webcam,53,,MiDaS_small,mps,518,0,0,640,480,10.200
